Tweet,Date
"LISTEN: lie-filled robocall thanks Rep Johnny Garrett for expelling the TN 3, calls them “radical activists posing as elected officials” who “led an angry mob of Antifa intending violence”, says “pipe bombs and brass knuckles” were confiscated. Lies. 

@EnlightTN is linked to",2023-04-15
De Niro: It is a coward's violence. You think trump every threw a punch himself? Or took one? He hid in the White House bunker with protestors outside. He directs the mob to do his dirty work for him.,2024-05-28
"Ataque armado en local donde se llevaba a cabo un velorio.

Una persona asesinada.  Cuatro heridos fueron trasladados.

5ta. Avenida entre 1ra. Y 2da. Calle zona 9.",2024-10-04
"In communal violence, it’s the poor who suffer the most. This man’s small roadside shop was burnt in Gurugram’s sector 66 this evening. Who will compensate him and many others like him across BOTH communities? Will the ‘mob’ who did this get away? And the key Haryana Qs: WHERE",2023-08-01
"Biden: Violence has never been the answer, whether it was with member of both parties of congress being shot or a violent mob attacking the capitol on January 6th or the brutal attack on the spouse of the Speaker of the House Nancy Pelosi..",2024-07-15
"A police officer stopped to help a motorist with a flat tire and was execute on the spot by the guy on the right 

Most violent group in my America and it’s not even close. Stay away and you’ll be okay",2024-10-04
How in God’s name does Jess Phillips have a job? She tried to justify the violence and the rioting from the tooled up masked mob in her area saying  they acted on missinfo  on social media. No they were just  moronic thugs. Why couldn’t she just say that?,2024-08-07
"#LIVE | Breakdown of law and order in Bengal once again as TMC strongman led a mob of 20 goons to vandalise a businessman's house in Howrah over family feud

#Bengal #Mamata #Bengalviolence",2024-07-10
"When you create, normalize, and encourage a mob, inevitably one day it will come for you. Because a mob doesn't know reason, it only knows violence.",2024-10-16
"Let's check in on the nocturnal shopping center sub-saharans, who appear to be engaging in two separate brawls simultaneously.",2024-09-26
" Not a ‘Far Right’ Mob on the hunt for blood &amp; violence wherever they can find it in Stoke.

Be careful people.",2024-08-04
"It’s free speech.
It’s not free-from-consequences speech.
So, if your speech incites violence, racial hatred, arson, pogroms… there will and must be consequences.
That’s not an affront to democracy. That is democracy. And the law.
Rather than mob rule and fascism.",2024-08-11
"Gang violence in Chicago on Friday during Mexican Independence Day resulting in two men sh*t, a de*dly car accident, and gang fights.

What happened to all those police from when the DNC was there?",2024-09-14
ODM goons were going after Morara's blood. This was mob justice. I don't know which offense Morara committed to be attacked in this way. #KufaDerevaKufaMakanga,2024-10-05
Witnesses say a black man assaulted a woman in the streets and was chased down by an angry mob into an Asian-owned store. The mob proceeded to attack the black man and demolish the store in the process.,2024-04-26
"Two vendors operating on opposite sides of the street started arguing outside 1338 Broadway (just north of W. 35th Street).

One vendor slashed the other in the neck. Marzouk Ibrahim, 36, was arrested and charged with assault.

This is due to some kind of turf war. Both sides are",2023-06-24
"Yes but neither does mob violence, Meena. Both should be condemned.",2024-10-17
" Watch ‘The Mob’ attack British Police Officers

Only 5 years ago scenes like this would have been unimaginable in Britain.

Now attacks on police are becoming extremely common as criminals now they face zero repercussions",2024-07-19
Donald Trump’s incitement of the mob and refusal to stop the violence will be remembered as the worst dereliction of duty by a president of the United States in modern history.,2022-07-22
"Hi Mark. The heart symbol you are using here seems nice, but the cause supports the killing of 27 million females globally a year. Your red lapel pin celebrates the lynching and disembowelment of two Israeli soldiers by a Palestinian mob. Why do you support so much violence?",2024-03-12
"Gangs of young African men marching the streets with machete’s in Navan as gang feud’s continue.

11 of them were arrested a few days ago, and are already out destroying Navan.

#IrelandIsFull #MakeIrelandSafeAgain",2023-04-27
"Bahraich Mob Violence: The Known, the ‘Not Known’ and the Unexplained",2024-10-15
"A man was brutally beaten to death in front of his father, mother, and wife in Maharashtra.

Why? A minor altercation on the road.

This is what you invariably get by fostering a culture of mob justice where Union Ministers garland mob-lynching convicts.",2024-10-16
Goons Run Over Opp In Car & Beat Him.. #nydrill #drill #rap #fight,2024-09-19
"If you can't win, cheat (or commit mob violence) said EVERY #Collectivist #Leftist EVER.",2024-10-17
"I'm co-leading today's @January6thCmte hearing, where we'll show how President Trump grew more desperate, tapped into the threat of violence, and summoned the mob to our nation's capital. 

Tune in: 1:00 pm (ET)/10:00 am (PT):",2022-07-12
"Convicted felon and liable sexual abuser partnered with a racist who's willing to spread lies to incite mob violence against asylum seeking migrants???
Prime presidential material, huh? ",2024-10-17
Mob violence claims innocent lives! Justice for Akash and his wife—enough with lawless brutality!,2024-10-15
Good morning. You may see more disinformation about mobs of unruly youth in downtown Chicago on your timeline this morning. Please read this story from *2011.*,2023-04-16
"True patriots choose democracy over dictatorship and country over party.

“Trump's mob wasn't a peaceful protest, it was a violent assault. They were insurrectionists, not patriots... I'll say what Donald Trump won't. Physical violence is never, ever acceptable in the United",2024-10-16
"At this point is the FBI anything other than the enforcement arm of the democrat’s swamp mob??? Disgusting.

Whistleblower: Same FBI Boss Who Shut Down Hunter Dirt Also Pressured Agents to Juice Domestic Violent Extremism Stats",2022-07-28
"The French Revolution was just revenge. It was bloody, senseless mob violence. There’s a reason why one of the first secret identity heroes literally rescued French aristocracy from the post Revolution society.",2024-10-17
"Trump would ban video game violence, but he encouraged his mob to beat Capitol police officers and try to hang Mike Pence. Trump prefers REAL violence",2024-10-16
mob violence,2024-10-11
"A simple overtaking alteration escalating into a full scale mob violence resulting in murder shows how much the society has spiralled downwards.

No one gives a sh!t anymore.",2024-10-14
"She's getting grief for this, but this is how India has been governed and policed since the British set up this State. It's not rocket science. Not all communities have an equal (demonstrated) propensity of violence. The Indian State pragmatically expects mob violence from its",2024-10-14
"Today's MoT
Montgomery's Riverside ""brawl"" traumatized a lot of good old boys. They tried it in a small town...and got wrecked! Some of them perpetrators have since been arrested but we're seeing that white privilege is kicking in to derail justice -again.",2023-08-10
"“Never-Trumpers” refer to Republicans who would never vote for Trump. Not me.

There is no “same.”

President Biden didn’t take emoluments, extort US allies, retain secret  war plans, conspire to overturn an election, or incite seditious mob violence with lies about fraud.",2024-10-14
"What more can be expected from extremists, egoists, and bloodthirsty people? 

Here law endorse mob violence, silence activists, lynch innocent people, justifies rapes.

What kind of sick, twisted society defends rapists, celebrates lynching and calls it justice? Only ours…",2024-10-14
"As public safety continues to deteriorate in Minneapolis after George Floyd died, violent brawls, robberies & shootings in downtown are becoming routine. @RebsBrannon captured the punches & wigs that went flying on Saturday night: https://x.com/RebsBrannon/status/1586702110678294533/video/1…",2022-10-30
"Hate speech, mob violence, and staged encounters—this is the reality of #Pakistan’s law enforcement. #Pakistan needs reforms, but what good are reforms in a country where police and mobs work hand-in-hand? 
@FarazPervaiz3
@TalatHussain12
@ArafatMazhar",2024-10-12
"Two Asian men jailed for attacking “pro-EDL man”’

As the EDL hasn’t existed since 2013, how much blame lies with the Labour party, police & the MSM for whipping the mob into a frenzy?

If individuals can be prosecuted for inciting violence, why not them?",2024-08-09
